Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
370.29332,C00836,M+HCOONa[1+],7.6466,0.000543533230029425,EC00085
370.29372,C00836,M+HCOONa[1+],9.0289,0.000943533230042704,EC00087
220.11683,C00864,M+H[1+],1.838,0.00114646677002384,EC00088
221.12008,C00864,M(C13)+H[1+],1.8354,0.0012964667700146,EC00088
242.09873,C00864,M+Na[1+],1.8387,0.00124646677002715,EC00088
258.07215,C00864,M+K[1+],1.8341,0.00132646676996728,EC00088
319.22406,C00909,M+H[1+],8.3869,0.00271646676998216,EC00089
320.2276,C00909,M(C13)+H[1+],8.3869,0.00257646676999457,EC00089
116.06968,C00956,M-HCOOH+H[1+],0.7877,0.000996466769990434,EC00090
118.08531,C00956,M-CO2+H[1+],0.853,0.000966466769995122,EC00090
162.07508,C00956,M+H[1+],0.9705,0.000996466770004645,EC00090
180.08557,C00956,M+H2O+H[1+],0.6456,0.00110646677003956,EC00090
200.031,C00956,M+K[1+],0.932,0.00057646677001344,EC00090
103.07441,C00966,M-CO2+H[1+],3.0274,0.000966466769980912,EC00091
129.05367,C00966,M-H2O+H[1+],2.5858,0.000906466769976078,EC00091
146.05902,C00966,M[1+],2.2114,0.00112000000001444,EC00091
147.06417,C00966,M+H[1+],0.9537,0.00100646677000782,EC00092
165.07425,C00966,M+H2O+H[1+],1.1898,0.00152646677000234,EC00092
231.02532,C00966,M+HCOOK[1+],0.9252,0.00115646676999859,EC00092
148.06055,C00979,M+H[1+],0.9081,7.35332299939273e-05,EC0002
150.05731,C00979,M(Cl37)+H[1+],0.9136,0.000366466770003626,EC0002
150.05731,C00979,M(S34)+H[1+],0.9136,0.00103353322998601,EC0002
163.05884,C00984,M-H2O+H[1+],8.3204,0.00123646676999556,EC0003
163.0595,C00984,M-H2O+H[1+],6.43,0.000576466769985018,EC0004
163.05957,C00984,M-H2O+H[1+],6.1438,0.000506466769991221,EC0005
318.07468,C01031,M-H2O+H[1+],4.4006,0.000696466770023108,EC00093
145.16894,C01037,M-CO2+H[1+],0.7223,0.00103646677001734,EC00094
189.15872,C01037,M+H[1+],0.7545,0.00105646677002369,EC00094
409.38133,C01054,M-H2O+H[1+],9.3398,0.00154646676998027,EC00095
409.38135,C01054,M-H2O+H[1+],9.0658,0.00152646676997392,EC00096
409.38136,C01054,M-H2O+H[1+],10.7607,0.00151646676999917,EC00097
409.38138,C01054,M-H2O+H[1+],10.5527,0.00149646676999282,EC00097
409.38139,C01054,M-H2O+H[1+],9.9468,0.00148646676996123,EC00098
409.3814,C01054,M-H2O+H[1+],9.6622,0.00147646676998647,EC00099
409.38142,C01054,M-H2O+H[1+],9.7151,0.00145646676998012,EC00099
427.39177,C01054,M+H[1+],9.3349,0.00170646676997421,EC00095
116.06968,C01077,M-HCOOH+H[1+],0.7877,0.000996466769990434,EC00090
118.08531,C01077,M-CO2+H[1+],0.853,0.000966466769995122,EC00090
162.07508,C01077,M+H[1+],0.9705,0.000996466770004645,EC00090
