CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1302	1306	15	0.9832	0.305
1302	1307	15	0.9863	0.160
1152	1204	16	0.7343	-56.542
2970	2990	17	0.9104	-0.101
2856	2974	18	0.7251	-0.003
2856	2985	18	0.7595	0.227
2974	2985	18	0.8989	0.229
1667	1684	19	0.8215	-1.019
3201	3246	20	0.7497	0.000
160	179	21	0.8928	-17.972
2350	2457	22	0.7207	0.000
2414	2741	23	0.8983	-2.015
2414	2906	23	0.8878	21.985
2414	3042	23	0.8701	-4.030
2741	3042	23	0.9684	-2.015
2879	3042	23	0.7948	-0.000
2906	3042	23	0.9575	-26.016
2741	2906	23	0.9851	24.000
2227	2915	24	0.8747	21.984
2413	2915	24	0.9542	21.984
2524	2915	24	0.8936	23.999
2739	2915	24	0.9349	24.000
2870	2915	24	0.8697	26.016
2915	3049	24	0.9575	-25.936
2915	3051	24	0.9567	-547.475
2915	3053	24	0.9785	-26.016
2413	2524	24	0.8647	-2.015
2413	2739	24	0.9134	-2.016
2413	2870	24	0.8327	-4.031
2413	3053	24	0.9532	-4.031
2413	3383	24	0.9768	-6.047
2227	3051	24	0.8839	-525.491
2524	3051	24	0.8967	-523.476
2728	3051	24	0.8831	-547.475
2739	3051	24	0.9266	-523.475
2870	3051	24	0.8715	-521.459
3049	3051	24	0.9963	-521.539
3051	3053	24	0.9928	521.459
2227	2524	24	0.9742	-2.015
2227	2728	24	0.9612	21.984
2227	2739	24	0.841	-2.016
2227	2870	24	0.9397	-4.031
2227	3049	24	0.8838	-3.951
2227	3053	24	0.8746	-4.031
2524	2870	24	0.95	-2.016
2524	3049	24	0.8967	-1.936
2524	3053	24	0.8923	-2.016
2739	3049	24	0.9227	-1.936
2870	3049	24	0.8692	0.080
3049	3053	24	0.9947	-0.080
2728	2739	24	0.8536	-24.000
2739	2870	24	0.8359	-2.016
2739	3053	24	0.9472	-2.016
2728	2870	24	0.9289	-26.016
2728	3053	24	0.879	-26.016
2870	3053	24	0.8605	-0.000
2749	3127	24	0.8313	-2.016
3044	3127	24	0.7492	1.066
2870	3044	24	0.7179	-3.009
2340	3482	25	0.7172	-12.018
3482	3485	25	0.752	18.010
2303	2340	25	0.8869	0.054
2340	3485	25	0.7559	5.993
2431	3485	25	0.717	-2.015
2560	2822	26	0.7116	-2.016
410	423	27	0.7625	72.021
2314	2853	28	0.9748	0.004
2411	2479	30	0.957	0.004
1364	2061	31	0.797	-2.020
1364	2597	31	0.751	2.015
3080	3402	32	0.7507	-42.085
2779	3437	32	0.827	-124.121
2890	3437	32	0.7589	28.035
3080	3437	32	0.7867	27.924
2779	3080	32	0.7442	-152.045
2792	3177	32	0.7584	2.016
2890	3177	32	0.7725	2.016
1728	1762	32	0.7435	-0.113
1762	2792	32	0.8127	-0.000
1762	2890	32	0.8467	-0.000
2792	2890	32	0.892	-0.000
2890	3080	32	0.7495	0.111
1094	1197	34	0.7039	-113.084
1139	1197	34	0.7066	-56.542
1140	1197	34	0.754	-56.042
1094	1140	34	0.7366	-57.042
1094	1139	34	0.7784	-56.542
13	48	36	0.9722	-14.016
13	80	36	0.9882	-0.150
80	98	36	0.9519	-2.016
86	98	36	0.8338	-14.016
48	80	36	0.9847	13.865
2794	3310	37	0.8607	-0.000
3257	3310	37	0.8298	0.000
2794	3257	37	0.7381	-0.000
405	480	38	0.854	-33.984
301	378	39	0.8288	0.068
1925	2382	40	0.924	-14.034
1950	2382	40	0.9804	-0.030
1925	1950	40	0.9253	-14.004
1096	1195	42	0.791	-113.084
1562	1564	44	0.8449	0.052
1564	1571	44	0.726	18.011
1996	2037	45	0.955	-0.000
2037	2251	45	0.898	-2.016
2206	2445	45	0.8196	-2.016
2251	2445	45	0.8419	162.052
2445	2466	45	0.7029	56.070
2201	2466	45	0.887	-2.016
2338	2466	45	0.8662	-0.001
1996	2251	45	0.8792	-2.016
2201	2338	45	0.8002	-2.016
2823	2882	46	0.9067	-0.001
2490	2943	47	0.9305	-28.030
2943	3021	47	1.0	0.009
