p.value,m.z,t.score,r.t,pos_inx
0.000142390155253109,285.24127,14.2147813688559,8.286,TRUE
0.000142412779963854,357.29839,17.5450906954559,9.1119,TRUE
0.000142813143752386,442.79447,16.4256951405778,0.6872,TRUE
0.000143594463700305,700.37741,16.9240548892665,8.9972,TRUE
0.000144193368128218,457.3297,15.0084679528279,10.458,TRUE
0.000145653486635071,355.28268,43.8874003070868,8.6129,TRUE
0.000148333516078816,383.15017,32.9825779572236,6.613,TRUE
0.000153371085466151,177.1246,15.9037249877734,6.8152,TRUE
0.000153723179421413,322.18586,54.8376779558276,1.109,TRUE
0.000154348917161638,232.99819,19.9126743529365,0.6105,TRUE
0.000154957933157551,221.14852,41.4287432253725,0.6315,TRUE
0.00015882161631686,279.23074,17.2167889504433,9.3028,TRUE
0.000159335526455987,261.22007,15.1590022178167,9.3041,TRUE
0.000160203359719965,677.3696,32.6704556404688,8.8509,TRUE
0.000163929050474001,427.15563,26.5809808529199,5.3059,TRUE
0.000165088362979017,233.9994,13.7607863939133,0.613,TRUE
0.000166024566743668,137.04484,17.4714253828304,0.9517,TRUE
0.000166041790970359,379.19512,25.1732307777221,4.5325,TRUE
0.000168792027660821,143.03533,13.9691397202737,0.6087,TRUE
0.000174257797377061,245.09843,72.7798918822175,1.4196,TRUE
0.000177480614784548,245.13708,72.4479670467566,5.5118,TRUE
0.000177821928173314,310.12801,47.4585011697591,1.6673,TRUE
0.000181717285682257,655.45157,-14.2231846843081,8.8105,TRUE
0.000182063527791652,417.23857,19.2824593334184,10.3248,TRUE
0.000184985335731028,534.36198,15.8746345779961,8.9532,TRUE
0.000187031866674154,299.2568,-17.9884275102585,8.8454,TRUE
0.000188415265292593,354.27064,19.5300985247168,9.0229,TRUE
0.000190277978816407,203.12672,30.3978554651306,5.6347,TRUE
0.000191311762409271,124.03838,30.6251926506457,0.9702,TRUE
0.000194847496478566,395.36578,16.5929749480001,10.2076,TRUE
0.000195413458678648,507.26748,19.3806050290951,10.8124,TRUE
0.000200489636552391,863.42202,39.5279629784647,8.5724,TRUE
0.000203683410910231,145.08321,36.0066129380357,2.3225,TRUE
0.000214586832106857,299.25846,-35.1582098866733,8.5196,TRUE
0.000215560290765276,338.34061,12.8225500389388,10.8834,TRUE
0.000215895508833612,353.2671,36.7348599845229,8.4633,TRUE
0.000218502115352971,321.2387,-18.4976706746243,8.919,TRUE
0.000220187231590001,494.28148,17.4724037916485,4.9762,TRUE
0.00022084576883885,337.27196,21.9567577732717,8.9562,TRUE
0.000221509165427835,699.35402,21.0627221605941,8.4657,TRUE
0.000223917459486527,275.00645,-12.6746977909736,1.0173,TRUE
0.000225109682973488,343.28244,13.6533895538987,9.3127,TRUE
0.000226482191701969,201.01492,31.6221355869863,0.7324,TRUE
0.000226643145441517,357.29749,14.4322451935661,8.7504,TRUE
0.000227930864135608,261.14495,25.142221175832,7.1139,TRUE
0.000231390765844799,203.0437,27.7469633345236,0.741,TRUE
0.000238241960695449,439.35541,12.8908932331654,10.7393,TRUE
0.000239038521240398,320.29931,30.7171866843245,7.7285,TRUE
0.000242262136021821,180.06445,-38.2621223238045,5.0534,TRUE
0.000243229151219959,139.12204,34.6900203578365,2.1129,TRUE
0.000247922639952742,421.23104,12.5508122808616,8.4627,TRUE
0.000260736170850711,279.23063,21.7411835669946,8.3767,TRUE
0.000264668849056909,365.22879,16.2968680238691,7.2294,TRUE
0.000264852577220759,393.23867,14.0243715411827,9.2703,TRUE
0.000265237315448662,331.18668,13.5752254204564,7.2689,TRUE
0.000265300421523679,377.26482,13.4736391598359,9.2715,TRUE
